date,MBK_MIACR_B_RUB_VOL_d1,MBK_MIACR_B_RUB_VOL_d180,MBK_MIACR_B_RUB_VOL_d30,MBK_MIACR_B_RUB_VOL_d360,MBK_MIACR_B_RUB_VOL_d7,MBK_MIACR_B_RUB_VOL_d90,MBK_MIACR_B_RUB_d1,MBK_MIACR_B_RUB_d180,MBK_MIACR_B_RUB_d30,MBK_MIACR_B_RUB_d360,MBK_MIACR_B_RUB_d7,MBK_MIACR_B_RUB_d90,MBK_MIACR_IG_RUB_IR_d1,MBK_MIACR_IG_RUB_IR_d180,MBK_MIACR_IG_RUB_IR_d30,MBK_MIACR_IG_RUB_IR_d360,MBK_MIACR_IG_RUB_IR_d7,MBK_MIACR_IG_RUB_IR_d90,MBK_MIACR_IG_RUB_VOL_d1,MBK_MIACR_IG_RUB_VOL_d180,MBK_MIACR_IG_RUB_VOL_d30,MBK_MIACR_IG_RUB_VOL_d360,MBK_MIACR_IG_RUB_VOL_d7,MBK_MIACR_IG_RUB_VOL_d90,MBK_MIACR_RUB_IR_d1,MBK_MIACR_RUB_IR_d180,MBK_MIACR_RUB_IR_d30,MBK_MIACR_RUB_IR_d360,MBK_MIACR_RUB_IR_d7,MBK_MIACR_RUB_IR_d90,MBK_MIACR_RUB_VOL_d1,MBK_MIACR_RUB_VOL_d180,MBK_MIACR_RUB_VOL_d30,MBK_MIACR_RUB_VOL_d360,MBK_MIACR_RUB_VOL_d7,MBK_MIACR_RUB_VOL_d90,MBK_MIACR_USD_IR_d1,MBK_MIACR_USD_IR_d180,MBK_MIACR_USD_IR_d30,MBK_MIACR_USD_IR_d360,MBK_MIACR_USD_IR_d7,MBK_MIACR_USD_IR_d90,MBK_MIACR_USD_VOL_d1,MBK_MIACR_USD_VOL_d180,MBK_MIACR_USD_VOL_d30,MBK_MIACR_USD_VOL_d360,MBK_MIACR_USD_VOL_d7,MBK_MIACR_USD_VOL_d90,MBK_MIBID_RUB_IR_d1,MBK_MIBID_RUB_IR_d180,MBK_MIBID_RUB_IR_d30,MBK_MIBID_RUB_IR_d360,MBK_MIBID_RUB_IR_d7,MBK_MIBID_RUB_IR_d90,MBK_MIBID_USD_IR_d1,MBK_MIBID_USD_IR_d180,MBK_MIBID_USD_IR_d30,MBK_MIBID_USD_IR_d360,MBK_MIBID_USD_IR_d7,MBK_MIBID_USD_IR_d90,MBK_MIBOR_RUB_IR_d1,MBK_MIBOR_RUB_IR_d180,MBK_MIBOR_RUB_IR_d30,MBK_MIBOR_RUB_IR_d360,MBK_MIBOR_RUB_IR_d7,MBK_MIBOR_RUB_IR_d90,MBK_MIBOR_USD_IR_d1,MBK_MIBOR_USD_IR_d180,MBK_MIBOR_USD_IR_d30,MBK_MIBOR_USD_IR_d360,MBK_MIBOR_USD_IR_d7,MBK_MIBOR_USD_IR_d90
2016-03-14 00:00:00+03:00,13188.0,,,,,,11.0,,,,,,10.7917,,,,,,129201.6,,,,,,10.9562,,10.5779,,,,247602.9512,,142.4,,,,0.3843,,,,,,9191.6076,,,,,,10.6533,11.1714,10.7714,11.5643,10.7958,10.67,0.3375,1.0268,0.5414,1.348,0.3887,0.6901,11.3063,12.5714,12.0357,13.0929,11.6083,12.43,0.8511,1.85,1.1945,2.8475,0.9322,1.115
2016-03-15 00:00:00+03:00,12984.0,,,,,,11.0,,,,,,10.9334,,,,,,181210.4,,,,,,11.0758,,,,11.1311,,311485.6778,,,,6456.0,,0.3847,,,,,,9220.6041,,,,,,10.6219,11.1,10.8813,11.5423,10.8462,10.3075,0.3331,1.2481,0.6349,1.6791,0.411,0.8139,11.4563,12.8357,12.39,13.5154,11.8423,12.5125,0.841,2.2128,1.4233,3.509,0.9824,1.1707
