date,EURRUR_CBR,MBK_MIACR_B_RUB_VOL_d1,MBK_MIACR_B_RUB_VOL_d180,MBK_MIACR_B_RUB_VOL_d30,MBK_MIACR_B_RUB_VOL_d360,MBK_MIACR_B_RUB_VOL_d7,MBK_MIACR_B_RUB_VOL_d90,MBK_MIACR_B_RUB_d1,MBK_MIACR_B_RUB_d180,MBK_MIACR_B_RUB_d30,MBK_MIACR_B_RUB_d360,MBK_MIACR_B_RUB_d7,MBK_MIACR_B_RUB_d90,MBK_MIACR_IG_RUB_IR_d1,MBK_MIACR_IG_RUB_IR_d180,MBK_MIACR_IG_RUB_IR_d30,MBK_MIACR_IG_RUB_IR_d360,MBK_MIACR_IG_RUB_IR_d7,MBK_MIACR_IG_RUB_IR_d90,MBK_MIACR_IG_RUB_VOL_d1,MBK_MIACR_IG_RUB_VOL_d180,MBK_MIACR_IG_RUB_VOL_d30,MBK_MIACR_IG_RUB_VOL_d360,MBK_MIACR_IG_RUB_VOL_d7,MBK_MIACR_IG_RUB_VOL_d90,MBK_MIACR_RUB_IR_d1,MBK_MIACR_RUB_IR_d180,MBK_MIACR_RUB_IR_d30,MBK_MIACR_RUB_IR_d360,MBK_MIACR_RUB_IR_d7,MBK_MIACR_RUB_IR_d90,MBK_MIACR_RUB_VOL_d1,MBK_MIACR_RUB_VOL_d180,MBK_MIACR_RUB_VOL_d30,MBK_MIACR_RUB_VOL_d360,MBK_MIACR_RUB_VOL_d7,MBK_MIACR_RUB_VOL_d90,MBK_MIACR_USD_IR_d1,MBK_MIACR_USD_IR_d180,MBK_MIACR_USD_IR_d30,MBK_MIACR_USD_IR_d360,MBK_MIACR_USD_IR_d7,MBK_MIACR_USD_IR_d90,MBK_MIACR_USD_VOL_d1,MBK_MIACR_USD_VOL_d180,MBK_MIACR_USD_VOL_d30,MBK_MIACR_USD_VOL_d360,MBK_MIACR_USD_VOL_d7,MBK_MIACR_USD_VOL_d90,MBK_MIBID_RUB_IR_d1,MBK_MIBID_RUB_IR_d180,MBK_MIBID_RUB_IR_d30,MBK_MIBID_RUB_IR_d360,MBK_MIBID_RUB_IR_d7,MBK_MIBID_RUB_IR_d90,MBK_MIBID_USD_IR_d1,MBK_MIBID_USD_IR_d180,MBK_MIBID_USD_IR_d30,MBK_MIBID_USD_IR_d360,MBK_MIBID_USD_IR_d7,MBK_MIBID_USD_IR_d90,MBK_MIBOR_RUB_IR_d1,MBK_MIBOR_RUB_IR_d180,MBK_MIBOR_RUB_IR_d30,MBK_MIBOR_RUB_IR_d360,MBK_MIBOR_RUB_IR_d7,MBK_MIBOR_RUB_IR_d90,MBK_MIBOR_USD_IR_d1,MBK_MIBOR_USD_IR_d180,MBK_MIBOR_USD_IR_d30,MBK_MIBOR_USD_IR_d360,MBK_MIBOR_USD_IR_d7,MBK_MIBOR_USD_IR_d90,USDRUR_CBR,ruonia_rate,ruonia_vol
2016-03-04,80.21,12740.0,,,,,,11.0,,,,,,10.6458,,,,,,224340.8,,,,,,10.8285,,,,10.7229,,357822.0293,,,,1010.4,,0.4054,,,,0.395,,492.88,,,,8484.1218,,10.5036,11.3113,10.5825,,10.7236,10.9242,0.33,1.2825,0.496,,0.3109,0.7782,11.2533,13.0813,12.0063,,11.5925,12.525,0.84,2.58,0.8775,,0.8017,1.55,73.8242,10.79,276.51
2016-03-05,80.1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1854,,
2016-03-09,,14184.0,,,,,,11.0,,,,,,10.787,,,,10.9719,,243851.2,,,,1664.0,,10.881,,11.4994,,10.9684,,390280.4995,,19538.4,,1681.6,,0.3841,,,,,,9084.9664,,,,,,10.4794,11.2643,10.789,11.3813,10.6643,10.87,0.2644,1.083,0.5292,1.6051,0.3561,0.7834,11.4132,12.7929,12.17,13.2188,11.7607,12.5333,0.597,1.884,1.0555,2.83,0.7688,1.3044,,10.91,260.25
2016-03-10,79.4488,13752.0,,,,,,11.0004,,,,,,10.6922,,12.8028,,10.9406,,177534.4,,4720.8,,84800.0,,10.8706,,12.6424,,10.9599,,303650.4486,,5284.0,,98144.0,,0.3854,,,,,4.35,9394.4483,,,,,92.2,10.4694,11.21,10.4838,11.2375,10.5647,10.8488,0.3003,1.2152,0.4731,1.406,0.3484,0.7452,11.355,12.9143,11.8625,12.8038,11.7467,12.528,0.8007,2.3371,1.1883,2.739,0.9186,1.5985,72.3775,10.86,215.0
2016-03-11,77.9817,13100.0,,,,,,11.0,,,,,,10.7336,,11.5,,,,198894.4,,9040.0,,,,10.9253,,11.5,,,,333961.6244,,9043.6,,,,0.3856,,0.55,,,,9985.9005,,160.072,,,,10.3833,11.0938,10.4357,10.625,10.4179,10.7652,0.3593,1.0498,0.5376,1.209,0.3636,0.7074,11.21,12.6313,11.7286,11.3195,11.3133,12.3652,0.6551,1.9446,0.985,1.227,0.7126,1.4192,71.0928,10.83,215.57
2016-03-12,78.4131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3067,,
2016-03-14,,13188.0,,,,,,11.0,,,,,,10.7917,,,,,,129201.6,,,,,,10.9562,,10.5779,,,,247602.9512,,142.4,,,,0.3843,,,,,,9191.6076,,,,,,10.6533,11.1714,10.7714,11.5643,10.7958,10.67,0.3375,1.0268,0.5414,1.348,0.3887,0.6901,11.3063,12.5714,12.0357,13.0929,11.6083,12.43,0.8511,1.85,1.1945,2.8475,0.9322,1.115,,11.07,150.46
2016-03-15,78.1798,12984.0,,,,,,11.0,,,,,,10.9334,,,,,,181210.4,,,,,,11.0758,,,,11.1311,,311485.6778,,,,6456.0,,0.3847,,,,,,9220.6041,,,,,,10.6219,11.1,10.8813,11.5423,10.8462,10.3075,0.3331,1.2481,0.6349,1.6791,0.411,0.8139,11.4563,12.8357,12.39,13.5154,11.8423,12.5125,0.841,2.2128,1.4233,3.509,0.9824,1.1707,70.1542,11.1,185.87
2016-03-16,78.3285,12984.0,,,,,,11.0,,,,,,10.8437,,,,,,150878.4,,,,,,10.9942,,,,11.1078,11.9054,286193.4248,,,,9080.0,2504.0,0.3896,,0.6367,,,,9290.1147,,136.0,,,,10.675,11.3375,10.7588,11.475,10.7667,10.8667,0.3499,1.4032,0.6208,1.9526,0.4199,1.0299,11.4368,13.0929,12.2853,13.3929,11.7867,12.6133,0.8431,2.5437,1.4645,3.4562,1.0142,1.8511,70.5408,10.89,183.87
2016-03-17,78.7532,13068.0,,,,,,11.0,,,,,,10.7968,,,,11.0451,,194454.4,,,,230000.0,,10.9357,,11.4281,,11.0536,12.6283,327747.362,,5108.4,,237396.8,2860.0,0.3865,,,,,,8125.5978,,,,,,10.65,11.2625,10.6725,11.3443,10.8447,10.9775,0.2811,1.0611,0.472,1.2109,0.3889,0.6965,11.4184,12.6438,11.8688,12.7686,11.7333,12.35,0.7057,1.9153,0.8875,2.3269,0.851,1.279,71.0256,10.91,236.79
2016-03-18,77.1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5318,11.4333,10.445,,10.6682,10.8941,0.3107,1.2346,0.5175,,0.3872,0.7658,11.3577,13.05,11.9917,,11.4958,12.5676,0.7343,2.4375,0.9433,,0.8363,1.5329,68.5598,,
2016-03-19,77.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4026,,
